,1. open,2. high,3. low,4. close,5. volume
2024-03-13 14:00:00,70.1650,70.1900,69.8900,70.0050,38659
2024-03-13 13:30:00,70.5200,70.5400,69.8200,70.1500,56884
2024-03-13 13:00:00,70.7800,70.8800,70.5900,70.5900,85376
2024-03-13 12:30:00,70.0400,70.8800,70.0300,70.7500,167962
2024-03-13 12:00:00,69.7400,70.0100,69.6550,69.9700,68597
2024-03-13 11:30:00,69.3900,69.7900,69.3100,69.7600,71862
2024-03-13 11:00:00,68.3400,69.4000,68.3400,69.4000,111101
2024-03-13 10:30:00,69.5200,69.5200,68.2500,68.3300,133712
2024-03-13 10:00:00,69.7500,69.7500,69.1700,69.5200,55203
2024-03-13 09:30:00,70.5400,70.6750,69.5900,69.7500,47458
2024-03-12 18:00:00,70.4700,70.7500,70.4700,70.7500,81001
2024-03-12 17:00:00,71.7520,71.7520,70.6550,70.6550,6
2024-03-12 16:30:00,70.7500,70.7500,70.7500,70.7500,2400
2024-03-12 16:00:00,70.7400,70.7500,70.6300,70.7500,270130
2024-03-12 15:30:00,70.9800,70.9800,70.7200,70.7400,245386
2024-03-12 15:00:00,71.1000,71.2900,70.9500,70.9700,352566
2024-03-12 14:30:00,71.1900,71.2000,71.0000,71.1100,43022
2024-03-12 14:00:00,71.0700,71.3100,71.0690,71.1900,26718
2024-03-12 13:30:00,70.8100,71.0900,70.8000,71.0700,46145
2024-03-12 13:00:00,70.7300,70.8600,70.5100,70.8200,61812
2024-03-12 12:30:00,70.8550,70.8600,70.6100,70.7300,18381
2024-03-12 12:00:00,70.7800,70.9850,70.6950,70.8500,29998
2024-03-12 11:30:00,70.8600,70.8700,70.6800,70.7900,67579
2024-03-12 11:00:00,70.9150,70.9300,70.7000,70.8600,51681
2024-03-12 10:30:00,70.4000,70.9250,70.3600,70.9250,35601
2024-03-12 10:00:00,70.7800,70.7800,70.3700,70.3700,15048
2024-03-12 09:30:00,71.4600,71.5950,70.5700,70.7800,44189
2024-03-11 16:30:00,71.2700,71.2700,71.2700,71.2700,1211
2024-03-11 16:00:00,71.3000,71.3000,69.5900,71.2700,207899
2024-03-11 15:30:00,71.3250,71.3800,70.8900,71.3000,245735
2024-03-11 15:00:00,72.0000,72.0000,71.2300,71.3300,83210
2024-03-11 14:30:00,72.1400,72.1700,71.8800,71.9950,49696
2024-03-11 14:00:00,72.2900,72.4200,72.0000,72.1200,332746
2024-03-11 13:30:00,71.8800,72.3520,71.8800,72.2950,102981
2024-03-11 13:00:00,71.8200,71.9500,71.8000,71.8600,18098
2024-03-11 12:30:00,71.6000,72.0200,71.4700,71.8050,55535
2024-03-11 12:00:00,71.5100,71.7700,71.4700,71.6700,36718
2024-03-11 11:30:00,71.5150,71.6450,71.4450,71.5410,32111
2024-03-11 11:00:00,71.5400,71.5600,71.3450,71.5000,26244
2024-03-11 10:30:00,71.4950,71.7700,71.1000,71.5700,46114
2024-03-11 10:00:00,71.6500,71.7300,71.3550,71.4600,192490
2024-03-11 09:30:00,71.5000,71.9600,71.0000,71.6900,17844
2024-03-11 08:00:00,69.0000,69.0000,69.0000,69.0000,3
2024-03-08 17:00:00,72.8600,72.8600,71.3100,71.3100,1979
2024-03-08 16:00:00,71.3100,71.3100,69.8800,71.3100,233863
2024-03-08 15:30:00,70.8900,71.4000,70.8400,71.2900,166851
2024-03-08 15:00:00,71.1000,71.1100,70.8800,70.8900,44692
2024-03-08 14:30:00,71.1200,71.1900,71.0600,71.0900,37308
2024-03-08 14:00:00,70.8300,71.1200,70.8100,71.1100,33261
2024-03-08 13:30:00,71.0200,71.0200,70.7100,70.8200,36459
2024-03-08 13:00:00,71.3300,71.3300,71.0250,71.0300,27495
2024-03-08 12:30:00,71.4200,71.5800,71.3400,71.3450,29080
2024-03-08 12:00:00,71.7000,71.8000,71.1900,71.4200,36276
2024-03-08 11:30:00,71.8600,71.9500,71.6750,71.7300,33348
2024-03-08 11:00:00,71.7250,71.9850,71.4100,71.9100,96787
2024-03-08 10:30:00,71.6450,71.8850,71.4550,71.7500,40613
2024-03-08 10:00:00,71.4800,71.8800,71.4000,71.6450,51689
2024-03-08 09:30:00,70.9900,72.0850,70.9900,71.5100,46636
2024-03-08 08:00:00,71.0100,71.0100,71.0100,71.0100,2141
2024-03-07 16:00:00,71.0500,71.0500,69.8600,71.0100,194390
2024-03-07 15:30:00,71.3500,71.4100,70.9300,71.0500,199934
2024-03-07 15:00:00,71.3200,71.3800,71.1500,71.3500,42609
2024-03-07 14:30:00,71.0690,71.3300,71.0500,71.3200,30637
2024-03-07 14:00:00,71.0000,71.0900,70.9100,71.0900,14527
2024-03-07 13:30:00,71.1000,71.1230,71.0000,71.0100,13473
2024-03-07 13:00:00,71.2800,71.2800,71.0400,71.1300,9836
2024-03-07 12:30:00,71.0100,71.3200,70.9800,71.2700,23609
2024-03-07 12:00:00,71.0000,71.0500,70.9300,71.0200,10344
2024-03-07 11:30:00,70.7300,71.0100,70.7000,71.0100,19404
2024-03-07 11:00:00,70.7450,70.7450,70.5000,70.6800,11686
2024-03-07 10:30:00,70.5450,71.0300,70.5300,70.7700,35010
2024-03-07 10:00:00,70.8200,70.9040,70.5200,70.5500,23663
2024-03-07 09:30:00,70.6700,71.1300,70.4000,70.8200,51047
2024-03-07 08:00:00,70.1600,70.1600,70.1600,70.1600,2
2024-03-07 07:30:00,71.1800,71.1800,71.1800,71.1800,3
